name,description,category_id,sector_id,image_url,seedling_id,strain_id,plant_facility_id,price
Specialty Concentrates 👨‍👦‍👦,Because peace campaign. Information me provide child push reveal control. Fly analysis Republican plant although nearly site.,3,3,https://images.unsplash.com/photo-1636759174740-93fb9523f835?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,3,15,1,36
Specialty Concentrates ✊🏼,Scene official truth service serve collection. Add story stuff control middle guy. How place bad could material best.,2,3,https://images.unsplash.com/photo-1556228578-8c89e6adf883?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,1,5,3,73
Specialty Concentrates 👨🏿‍🤝‍👨🏻,Worry including dog trial improve. Technology project old hundred paper ball program. Over red player week drive them. Or attorney threat western attack health.,1,3,https://images.unsplash.com/photo-1598052163236-4ec4140c4c49?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2,4,1,75
Specialty Concentrates 🚌,Exist become me star adult might little. Bill last close skill. My book usually election difficult beautiful well.,1,3,https://images.unsplash.com/photo-1598052162878-37283c569e5a?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1130&q=80,2,17,3,72
Specialty Concentrates 🙅🏾,Bank expert hot low their affect. Court television send message week example.,1,3,https://images.unsplash.com/photo-1598052162874-e41952203254?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1188&q=80,2,4,3,130
Blogly Apparel 🇧🇴,Speech state item. Remember the nation against.,6,5,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=880&q=80,3,7,3,149
Blogly Apparel 🦓,Seem fly friend peace growth address court president.,6,5,https://images.unsplash.com/photo-1562157873-818bc0726f68?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=627&q=80,2,4,1,134
Blogly Apparel 🕍,Same term prepare pull this beautiful already. Allow responsibility view explain.,6,5,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1072&q=80,2,8,1,77
Blogly Apparel ☂️,Various exist call. Owner there couple magazine. All focus strategy plan. Week check guess.,6,5,https://images.unsplash.com/photo-1620799139834-6b8f844fbe61?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1072&q=80,1,9,1,156
Blogly Apparel 🦹‍♂️,Let none must charge specific quickly left. Among pick everyone loss give employee. Policy poor traditional only.,6,5,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,11,3,179
Blogly Apparel 🕌,Eat technology option gun tend over find well. Wrong after kid cost spring and question enjoy.,6,5,https://images.unsplash.com/photo-1593030761757-71fae45fa0e7?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=880&q=80,2,14,1,165
Blogly Apparel 🫑,Lot seat foot easy. Carry know democratic rest cell environmental.,6,5,https://images.unsplash.com/photo-1560769629-975ec94e6a86?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=764&q=80,3,10,1,70
Blogly Apparel 🧑🏻‍🎄,Water product dog air world. Leave size example score along. Per with it stuff yard.,6,5,https://images.unsplash.com/photo-1602810320073-1230c46d89d4?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,3,1,169
Blogly Apparel 👩🏾‍🚀,Mean easy standard party. Nice three change nation in. Close color child approach action from less. Yet whatever various eat but.,6,5,https://images.unsplash.com/photo-1516762689617-e1cffcef479d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=711&q=80,1,1,2,37
Blogly Apparel 🦵🏽,Once something Democrat name defense. Machine ability kind early. Dog team number lead program second.,6,5,https://images.unsplash.com/photo-1601980265524-04468b355ac3?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=675&q=80,3,9,3,46
Blogly Apparel 🤌🏿,Social whatever cover name hit road.,6,5,https://images.unsplash.com/photo-1584539696499-bff0b4768e4e?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=735&q=80,2,15,2,77
Blogly Apparel 🧑🏻‍🤝‍🧑🏻,Yes form analysis someone. Act writer understand finally. He near serve morning new. Instead find movement.,6,5,https://images.unsplash.com/photo-1605518216938-7c31b7b14ad0?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1609&q=80,1,16,1,69
Blogly Apparel 🧝🏼‍♀️,Environmental school attention hospital. Fine stage reach phone yourself center civil.,6,5,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2,6,2,197
Blogly Apparel 🪆,Risk least watch society investment. Commercial wide avoid oil join inside believe. What already have clearly.,6,5,https://images.unsplash.com/photo-1618554776245-6b23d506c3e1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,1,1,2,66
Blogly Apparel 🎾,Reflect happy true back fly teacher enter position. Provide reason whether. Too debate choose end range.,6,5,https://images.unsplash.com/photo-1592876569776-12718fae30f1?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1026&q=80,2,2,3,92
Blogly Apparel 🕵🏻‍♂️,Out citizen listen indicate project try staff try. Ahead hand material use.,6,5,https://images.unsplash.com/photo-1608667508764-33cf0726b13a?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=880&q=80,1,1,2,96
Blogly Apparel 🗃️,End top office despite argue always apply. Stage official way box scientist. Consumer own religious statement.,6,5,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1025&q=80,1,14,2,148
Blogly Apparel 🔋,Season pass south oil sense. Star sell kitchen theory. Country eight member level watch trouble.,6,5,https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=735&q=80,2,7,3,167
Blogly Apparel 🧑🏾‍🤝‍🧑🏽,Perform from activity difficult. Its force fire heavy carry program. Simply truth whatever thing something alone finish box.,6,5,https://images.unsplash.com/photo-1565379793984-e65b51b33b37?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=880&q=80,1,9,1,134
Blogly Apparel 🇳🇮,Challenge human five card. Young accept field.,6,5,https://images.unsplash.com/photo-1612215033154-0f12117b1de2?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,2,3,28
Blogly Apparel 🤸🏽‍♂️,History ground health unit management.,6,5,https://images.unsplash.com/photo-1591946600248-29d495003cac?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,7,1,119
Blogly Apparel ✊,Management simply under include citizen opportunity process. Little skin generation. Try bad provide arm subject imagine.,6,5,https://images.unsplash.com/photo-1601233216647-4fb22eb08425?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,10,2,138
Blogly Apparel 👧🏽,Perform turn financial ago analysis table. Produce member picture analysis.,6,5,https://images.unsplash.com/photo-1605812860427-4024433a70fd?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=735&q=80,1,1,1,23
Blogly Apparel 👨‍🎤,Seat defense various in television. Stop brother account commercial billion bar. Lead course character risk sport trip.,6,5,https://images.unsplash.com/photo-1617483535565-c255e235002b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,3,7,2,154
Blogly Apparel 🧑🏻‍🎄,Star with trade break meeting. Beyond newspaper notice herself star beyond include. Rise ever black ability through.,6,5,https://images.unsplash.com/photo-1584609226397-de5612afdfea?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1074&q=80,2,16,2,171
Blogly Apparel 🧚🏼,Member fine true attack among at. Then opportunity among story. Force move especially chair stage.,6,5,https://images.unsplash.com/photo-1604163546180-039a1781c0d2?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=764&q=80,3,2,1,97
Granddaddy Purple Qtr,Become game possible factor. One for ball. Sign avoid after everyone new community movement voice.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-7.png?auto=compress,format&w=215&dpr=1",1,1,1,15
Granddaddy Purple Half,In particularly number sea. Only way like require sit experience oil. Computer avoid will and.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-17.png?auto=compress,format&w=215&dpr=1",2,1,2,144
Granddaddy Purple Oz,Result fast kitchen somebody city former boy risk. Anyone point marriage offer left rise.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-16.png?auto=compress,format&w=215&dpr=1",2,1,1,56
Granddaddy Purple Gummies,Recognize sell fall describe should reason. Position last standard fear prepare.,1,4,https://images.unsplash.com/photo-1579803988215-7a9ac7d5b988?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2,1,2,16
Granddaddy Purple Vaporizer,Phone economic medical. Pressure local easy blue. Rate tough ability book computer wish language. Way least peace manager.,1,2,https://images.unsplash.com/photo-1616093052603-f8a8acf54f7c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2,1,2,56
Northern Lights Qtr,Tree score example detail stay three standard. Require why center health peace. Include determine always dark.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-2.png?auto=compress,format&w=215&dpr=1",3,2,1,80
Northern Lights Half,Network realize policy house rather give. Indicate right we man white gas. Along how music including.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-19.png?auto=compress,format&w=215&dpr=1",2,2,1,64
Northern Lights Oz,Article morning eat. Note out move realize off ago will. Able increase life many sense move most.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-17.png?auto=compress,format&w=215&dpr=1",3,2,2,19
Northern Lights Gummies,White be treatment director rich recent. Type phone relationship those. Behind where drop task agreement other.,1,4,https://images.unsplash.com/photo-1626123552399-8cd6cc8bc36c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2,2,2,137
Northern Lights Vaporizer,Section every cause. Eat per since forward safe year sell.,1,2,https://images.unsplash.com/photo-1599177749654-b8f5fe0b016a?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1043&q=80,2,2,3,52
Papaya Qtr,Sister ask party our type. Hotel once collection both.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-23.png?auto=compress,format&w=215&dpr=1",3,3,2,59
Papaya Half,Speech late certainly of service first public.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-20.png?auto=compress,format&w=215&dpr=1",2,3,1,159
Papaya Oz,Cultural best response risk record wish. Machine rule assume less west. Agreement son computer eight free necessary.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-20.png?auto=compress,format&w=215&dpr=1",2,3,1,38
Papaya Gummies,Learn budget just while. Actually move me. Forget institution white heart response nature.,1,4,https://images.unsplash.com/photo-1626640791286-0fb9e407aab6?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,3,3,1,75
Papaya Vaporizer,Student inside line world evening cup. Bag military according rule world lay tell.,1,2,https://images.unsplash.com/photo-1616093052603-f8a8acf54f7c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,3,3,3,138
Triangle Kush Qtr,She several word say community think commercial. Win anyone still imagine hold suggest. Just local yard which generation prepare nature. Later give economy get key and business health.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-18.png?auto=compress,format&w=215&dpr=1",1,4,2,108
Triangle Kush Half,Yet industry head nearly develop general budget. Example fall give purpose soon nice. Indeed computer behavior whether fast.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-27.png?auto=compress,format&w=215&dpr=1",2,4,2,162
Triangle Kush Oz,Concern tonight book huge site better wind. Hit full new student former certainly. Report option cultural camera might.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-23.png?auto=compress,format&w=215&dpr=1",1,4,1,45
Triangle Kush Gummies,Interview one speech build. Face grow chair seven. He mouth boy trouble believe crime perhaps. Consider west edge growth at.,1,4,https://images.unsplash.com/photo-1605125208383-694750af8f5b?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=765&q=80,3,4,2,152
Triangle Kush Vaporizer,Career amount top pattern first free. Great peace minute.,1,2,https://images.unsplash.com/photo-1635481753580-7c1defd2679f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1031&q=80,2,4,2,28
Sunset Qtr,Ten nature time wonder tax black. Standard think kid across. Nature cause agent spend direction opportunity. Discover party laugh blue open.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-28.png?auto=compress,format&w=215&dpr=1",3,5,3,63
Sunset Half,Over impact ok measure everyone.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-29.png?auto=compress,format&w=215&dpr=1",2,5,1,52
Sunset Oz,A among total public while certainly. Assume customer then beyond little high training. Scientist total give body still itself response.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-24.png?auto=compress,format&w=215&dpr=1",3,5,1,49
Sunset Gummies,Response quality glass under movie ahead inside which. Benefit sound young sound drop.,1,4,https://images.unsplash.com/photo-1666595162656-5dda41328ba5?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=880&q=80,3,5,1,128
Sunset Vaporizer,Agent parent at weight religious memory. Movement focus black suggest effort southern sing. Major see general strong size look to.,1,2,https://images.unsplash.com/photo-1599177749654-b8f5fe0b016a?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1043&q=80,3,5,2,97
Zkittlez Qtr,Friend off ask thousand put. Purpose opportunity support best statement. Police toward floor.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-4.png?auto=compress,format&w=215&dpr=1",1,6,2,119
Zkittlez Half,Sport economy exactly fine in. Level common prove eat election whatever. Wrong sell career expert cut and.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-5.png?auto=compress,format&w=215&dpr=1",3,6,3,150
Zkittlez Oz,Difference no ball color across population develop. Since identify day none rise. Board huge idea gun soon.,1,1,"https://images.leafly.com/flower-images/defaults/generic/strain-9.png?auto=compress,format&w=215&dpr=1",2,6,3,171
Zkittlez Gummies,Skin mean run customer majority past. It the why gun field throw. Also cover question just finally weight.,1,4,https://images.unsplash.com/photo-1605125207615-333a7af27bfd?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=765&q=80,2,6,2,77
Zkittlez Vaporizer,Beautiful democratic opportunity type enjoy treat game. Along seek model identify clear raise. Even strong image have.,1,2,https://images.unsplash.com/photo-1629169544250-f1d828754ced?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=764&q=80,1,6,3,32
Sour Diesel Oz,Wind get bed difficult look ability. Certainly shake increase vote travel same minute later.,2,1,"https://images.leafly.com/flower-images/defaults/generic/strain-20.png?auto=compress,format&w=215&dpr=1",1,1,1,67
Sour Diesel Cookies,Citizen care quality charge. Describe power young so. Open office focus rise education activity.,2,4,https://images.unsplash.com/photo-1597895139322-0a1ef77b3c30?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,1,3,86
Sour Diesel Vaporizer,Hair direction stage hope purpose. Record I dinner pass present. Young nearly director popular doctor knowledge level.,2,2,https://images.unsplash.com/photo-1545095088-26a59e3f2717?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,1,1,1,181
Mango Haze Oz,Month owner these. Name growth theory vote past forward. Drop study store carry.,2,1,"https://images.leafly.com/flower-images/defaults/generic/strain-22.png?auto=compress,format&w=215&dpr=1",2,2,2,31
Mango Haze Cookies,Maintain citizen trouble. Dream close more main.,2,4,https://images.unsplash.com/photo-1551844547-043f512dc4d9?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=730&q=80,2,2,1,118
Mango Haze Vaporizer,Fish perform catch really fly improve conference.,2,2,https://images.unsplash.com/photo-1613392083937-f68bcff3bf10?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1632&q=80,1,2,3,52
French Cookies Oz,Move tend home idea. Cultural statement anyone charge either news magazine. Several you final ever including director paper really.,2,1,"https://images.leafly.com/flower-images/defaults/generic/strain-19.png?auto=compress,format&w=215&dpr=1",1,3,2,25
French Cookies Cookies,Sense hope public threat. Involve whole campaign difficult fight network. Clear when form.,2,4,https://images.unsplash.com/photo-1615408393752-28d552ef9673?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,1,3,2,182
French Cookies Vaporizer,Treatment director number black where sister available apply. Different role first senior middle mission. Mention whatever bed police environmental education. Will black improve some need control.,2,2,https://images.unsplash.com/photo-1676914880962-0e7b40cf6743?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=980&q=80,1,3,2,133
Guava Kush Oz,Write traditional let defense. Run tree part.,2,1,"https://images.leafly.com/flower-images/defaults/generic/strain-6.png?auto=compress,format&w=215&dpr=1",3,4,3,146
Guava Kush Cookies,Around behavior well face. Serious laugh air star possible subject. Name agreement determine heavy recognize.,2,4,https://images.unsplash.com/photo-1579005213577-3d71eecd728d?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=764&q=80,2,4,3,21
Guava Kush Vaporizer,Cup key nearly sort other. Couple performance three similar middle indicate that.,2,2,https://images.unsplash.com/photo-1625125875922-dd44b1ec9b1f?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=765&q=80,3,4,2,110
Sunrise Oz,Establish or expect country should minute top. Board less under suggest pretty. Tonight speak space manage score need check result.,2,1,"https://images.leafly.com/flower-images/defaults/generic/strain-7.png?auto=compress,format&w=215&dpr=1",3,5,2,143
Sunrise Cookies,Similar herself mind writer alone. Together meeting statement house.,2,4,https://images.unsplash.com/photo-1542310503-ff8da9c02372?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,1,5,1,106
Sunrise Vaporizer,By school apply. Low oil benefit art. Commercial character few into leader. Member after throw that significant.,2,2,https://images.unsplash.com/photo-1599752597653-156992574668?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2060&q=80,3,5,2,62
Candyland Oz,Car parent project activity cultural remember poor soon. On special think they commercial case interest beyond. Surface several great learn call technology.,2,1,"https://images.leafly.com/flower-images/defaults/generic/strain-29.png?auto=compress,format&w=215&dpr=1",2,6,2,68
Candyland Cookies,Range operation finally modern street plan. Main show name. Ground sing TV wall.,2,4,https://images.unsplash.com/photo-1624204928490-3dea2d558f5c?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,2,6,1,189
Candyland Vaporizer,Republican defense age specific various relate alone. Thank former mission team agent carry. College democratic source everything office oil there could.,2,2,https://images.unsplash.com/photo-1646926555480-479d4c948a20?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=687&q=80,2,6,1,80
Biscotti Oz,Everybody student same often. A main interview job despite right. Or represent across remember.,3,1,"https://images.leafly.com/flower-images/defaults/generic/strain-27.png?auto=compress,format&w=215&dpr=1",1,1,2,148
Biscotti Donuts,Democrat entire player fine everybody. Image direction value up page movie successful future.,3,4,https://images.unsplash.com/photo-1570727624862-3008fe67a6be?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1170&q=80,1,1,2,83
Biscotti Vaporizer,Cultural goal decide attention always hold. Far direction Republican appear certainly.,3,2,https://images.unsplash.com/photo-1676914880547-474b570c4646?ixlib=rb-4.0.3&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=791&q=80,3,1,3,22
Gelonade Oz,Night service professional week condition memory. Task research rise defense eight serious people. Inside appear often relate.,3,1,"https://images.leafly.com/flower-images/defaults/generic/strain-20.png?auto=compress,format&w=215&dpr=1",3,2,2,66
